STT,Tuần,Ngày,Tên bài học,Mẫu ngữ pháp,Mẫu ngữ pháp (Furigana),Cấu trúc,Ý nghĩa,Giải thích & Hướng dẫn,Ví dụ minh họa,Ví dụ (Furigana),URL bài học
11,Tuần 1,Ngày 4,第1週 (4) – できるようになった,～ 聞 こえるようにする,～ 聞(き) こえるようにする,Vる／Vない／Vれる + ように,"Để, nhằm","Dùng để chỉ mục đích của hành động thực hiện sau đó KHông dùng được với động từ là tha động từ, động từ mang ý chủ động. Thường dùng với động từ ở thể khả năng, tự động từ","1. みんなに 聞 こえるようにもっと 大 きな 声 で 話 してください。
   👉 Hãy nói lớn lên để mọi người nghe thấy
2. 忘 れないように、 手帳 に 書 いておこう。
   👉 Viết sẵn vào sổ tay để không quên
3. 家 を 買 う ように ために 貯金 をしている。
   👉 Dành tiền để mua nhà
4. 働 く ように ために 学校 をやめた。
   👉 Bỏ học để đi làm","1. みんなに 聞(き) こえるようにもっと 大(おお) きな 声(こえ) で 話(はな) してください。
   👉 Hãy nói lớn lên để mọi người nghe thấy
2. 忘(わす) れないように、 手帳(てちょう) に 書(か) いておこう。
   👉 Viết sẵn vào sổ tay để không quên
3. 家(いえ) を 買(か) う ように ために 貯金(ちょきん) をしている。
   👉 Dành tiền để mua nhà
4. 働(はたら) く ように ために 学校(がっこう) をやめた。
   👉 Bỏ học để đi làm",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-4.html
12,Tuần 1,Ngày 4,第1週 (4) – できるようになった,～ 使 えるようになった,～ 使(つか) えるようになった,Vるようになる,Trở nên như thế nào,"Dùng diễn tả sự biến đổi của sự vật, chủ thể thành một trạng thái khác. Thường dùng với tự động từ, động từ ở thể khả năng","1. 「このDVDプレーヤー、こわれているんだよね。」
   👉 Cái máy DVD player này hỏng rồi nhỉ
2. 「いや、 直 してもらったから、 使 えるようになったよ。」
   👉 Không, vì đã sửa cho rồi nên đã trở nên có thể dùng được rồi
3. ここの 電気 は 人 が 通 るとつくようになっています。
   👉 Điện ở đây trở nên sáng lên khi có người đi qua","1. 「このDVDプレーヤー、こわれているんだよね。」
   👉 Cái máy DVD player này hỏng rồi nhỉ
2. 「いや、 直(なお) してもらったから、 使(つか) えるようになったよ。」
   👉 Không, vì đã sửa cho rồi nên đã trở nên có thể dùng được rồi
3. ここの 電気(でんき) は 人(ひと) が 通(とお) るとつくようになっています。
   👉 Điện ở đây trở nên sáng lên khi có người đi qua",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-4.html
13,Tuần 1,Ngày 5,第1週 (5) – 言ったように,～ご 存 じのように,～ご 存(ぞん) じのように,V（ 普通 形 ）／Nの + ように,"Như là …., giống như là",Thường dùng để làm lời mở đầu trước khi giải thích về vấn đề gì đó Ngoài ra còn dùng trong việc hướng dẫn người khác làm gì,"1. 皆様 ご 存 じのように、 試験 の 内容 が 変 わります。
   👉 Như các vị đã biết, nội dung buổi thi sẽ thay đổi
2. ここに 書 いてあるように、 今度 の 木曜日 、 授業 は 午前中 だけです。
   👉 Như có viết ở đây, thứ năm tới đây, tiết học sẽ chỉ có trong buổi sáng.
3. 前 にお 話 ししたように、 来年 から 授業料 が 値 上 がりします。
   👉 Như đã nói trước, từ năm sau học phí sẽ tăng lên","1. 皆様(みなさま) ご 存(ぞん) じのように、 試験(しけん) の 内容(ないよう) が 変(か) わります。
   👉 Như các vị đã biết, nội dung buổi thi sẽ thay đổi
2. ここに 書(か) いてあるように、 今度(こんど) の 木曜日(もくようび) 、 授業(じゅぎょう) は 午前中(ごぜんちゅう) だけです。
   👉 Như có viết ở đây, thứ năm tới đây, tiết học sẽ chỉ có trong buổi sáng.
3. 前(まえ) にお 話(はなし) ししたように、 来年(らいねん) から 授業料(じゅぎょうりょう) が 値(ね) 上(あ) がりします。
   👉 Như đã nói trước, từ năm sau học phí sẽ tăng lên",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-5.html
14,Tuần 1,Ngày 5,第1週 (5) – 言ったように,～ 早 くように,～ 早(はや) くように,Vる／Vない + ように,Hãy…làm gì/ Không được làm gì,"Dùng để yêu cầu, chỉ định người khác (bậc dưới) làm gì","1. 「 明日 はもっと 早 く 来 るように。」
   👉 Ngày mai hãy đến sớm hơn nữa
2. 「わかりました。」
   👉 Tôi hiểu rồi
3. ここでたばこを 吸 わないように。
   👉 Đừng hút thuốc ở đây","1. 「 明日(あした) はもっと 早(はや) く 来(く) るように。」
   👉 Ngày mai hãy đến sớm hơn nữa
2. 「わかりました。」
   👉 Tôi hiểu rồi
3. ここでたばこを 吸(す) わないように。
   👉 Đừng hút thuốc ở đây",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-5.html
15,Tuần 1,Ngày 5,第1週 (5) – 言ったように,～ 合格 しますように,～ 合格(ごうかく) しますように,Vます／ Vません／ Vれます + ように,"Để, mong, cầu cho","Thường dùng để thể hiện hi vọng, cầu mong về một việc gì đó","1. 合格 しますように。
   👉 Cầu cho đậu
2. 母 の 病気 が 治 りますように。
   👉 Mong cho bệnh của mẹ mau khỏi
3. インフルエンザにかかりませんように。
   👉 Mong sao không bị cúm","1. 合格(ごうかく) しますように。
   👉 Cầu cho đậu
2. 母(はは) の 病気(びょうき) が 治(なお) りますように。
   👉 Mong cho bệnh của mẹ mau khỏi
3. インフルエンザにかかりませんように。
   👉 Mong sao không bị cúm",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-5.html
16,Tuần 1,Ngày 6,第1週 (6) – 話を聞こうとしない,～やめようと 思 う,～やめようと 思(おも) う,Vようと 思 う,Dự định làm gì,"Dùng để thể hiện ý chí, dự định của chủ thể","1. 会社 をやめようと 思 っている。
   👉 Tôi định bỏ việc
2. 来年 、 国 に 帰 ろうと 思 っています。
   👉 Năm sau tôi định sẽ về nước.","1. 会社(かいしゃ) をやめようと 思(おも) っている。
   👉 Tôi định bỏ việc
2. 来年(らいねん) 、 国(くに) に 帰(かえ) ろうと 思(おも) っています。
   👉 Năm sau tôi định sẽ về nước.",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-6.html
17,Tuần 1,Ngày 6,第1週 (6) – 話を聞こうとしない,～ 電車 に 乗 ろうとしたときに,～ 電車(でんしゃ) に 乗(の) ろうとしたときに,V ようとする,(vừa ) Định làm gì,"Dùng để diễn tả ý định của chủ thể trong khoảnh khắc, khoảng thời gian ngắn. Dùng với những hành động mang tính ngắn hạn, thường ngày.","1. 電車 に 乗 ろうとしたときに、ドアが 閉 まって 乗 れなかった。
   👉 Khi tôi vừa định lên xe điện thì cửa đóng nên không thể lên được
2. あ、ポチが、あなたの 靴 をかもうとしているよ。
   👉 A, con Pochi sắp cắn đôi giày của bạn kìa
3. ポチは、ぼくが 出 かけようとすると、ほえる。
   👉 Pochi sủa mỗi khi tôi vừa định ra ngoài","1. 電車(でんしゃ) に 乗(の) ろうとしたときに、ドアが 閉(し) まって 乗(の) れなかった。
   👉 Khi tôi vừa định lên xe điện thì cửa đóng nên không thể lên được
2. あ、ポチが、あなたの 靴(くつ) をかもうとしているよ。
   👉 A, con Pochi sắp cắn đôi giày của bạn kìa
3. ポチは、ぼくが 出(で) かけようとすると、ほえる。
   👉 Pochi sủa mỗi khi tôi vừa định ra ngoài",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-6.html
18,Tuần 1,Ngày 6,第1週 (6) – 話を聞こうとしない,～ 食 べようとしない,～ 食(た) べようとしない,Vようとしない,"Không định làm gì, không tính làm gì",Dùng để thể hiện việc không cảm nhận được ý chí thực hiện hành động hay động tác,"1. 「ポチ、どうしたんだろう。ご 飯 を 食 べようとしないんだよ。」
   👉 Pochi sao vậy nhỉ. Nó định chẳng muốn ăn cơm kìa
2. 彼 は 自分 のことは 何 も 言 おうとしない。
   👉 Anh ta thì không định nói cái gì về mình cả","1. 「ポチ、どうしたんだろう。ご 飯(はん) を 食(た) べようとしないんだよ。」
   👉 Pochi sao vậy nhỉ. Nó định chẳng muốn ăn cơm kìa
2. 彼(かれ) は 自分(じぶん) のことは 何(なに) も 言(い) おうとしない。
   👉 Anh ta thì không định nói cái gì về mình cả",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-6.html
19,Tuần 2,Ngày 1,第2週 (1) – うそばっかり,～ 女性 ばかり,～ 女性(じょせい) ばかり,N／Vて + ばかり／ばかりだ／ばかりのN／ばかりで Vてばかりいる～,"Toàn là, đầy…","Một hành động nào đó được thực hiện liên tục Sự vật, chủ thể nào đó hiện hữu với số lượng nhiều","1. この 店 のお 客 さんは、 女性 ばかりですね。
   👉 Khách hàng của tiệm này toàn là nữ nhỉ
2. 弟 は、テレビを 見 てばかりいる。
   👉 Em trai tôi xem tivi suốt
3. 息子 は 仕事 もしないで 遊 んでばかりいる。
   👉 Con trai tôi chẳng làm việc mà cứ chơi suốt","1. この 店(みせ) のお 客(きゃく) さんは、 女性(じょせい) ばかりですね。
   👉 Khách hàng của tiệm này toàn là nữ nhỉ
2. 弟(おとうと) は、テレビを 見(み) てばかりいる。
   👉 Em trai tôi xem tivi suốt
3. 息子(むすこ) は 仕事(しごと) もしないで 遊(あそ) んでばかりいる。
   👉 Con trai tôi chẳng làm việc mà cứ chơi suốt",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-1.html
20,Tuần 2,Ngày 1,第2週 (1) – うそばっかり,～ 会員 だけしか,～ 会員(かいいん) だけしか,NだけしかVない,Chỉ có,"Dùng thể hiện ý duy nhất, độc nhất","1. このコンサートは、 会員 だけしか 入 れません。
   👉 Buổi hòa nhạc này chỉ có hội viên mới có thể vào
2. 今日 はお 客様 が 一人 だけしか 来 ませんでした。
   👉 Hôm nay chỉ có 1 vị khách đến","1. このコンサートは、 会員(かいいん) だけしか 入(い) れません。
   👉 Buổi hòa nhạc này chỉ có hội viên mới có thể vào
2. 今日(きょう) はお 客様(きゃくさま) が 一人(ひとり) だけしか 来(き) ませんでした。
   👉 Hôm nay chỉ có 1 vị khách đến",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-1.html
21,Tuần 2,Ngày 1,第2週 (1) – うそばっかり,～ひらがなさえ,～ひらがなさえ,N／Nに／Nで + さえ,"Thậm chí là, đến cả",Dùng để thể hiện một việc ở mức độ đặc biệt cao/thấp mà chắc chắn có thể / không thể làm được.,"1. ひらがなさえ 書 けないんですから、 漢字 なんて 書 けません。
   👉 Vì dến cả hiragana còn không thể viết được thì cỡ như chữ Kanji là không thể viết được rồi
2. そんなこと、 子 どもでさえ 知 っている。
   👉 Điều như thế đến trẻ con còn biết","1. ひらがなさえ 書(か) けないんですから、 漢字(かんじ) なんて 書(か) けません。
   👉 Vì dến cả hiragana còn không thể viết được thì cỡ như chữ Kanji là không thể viết được rồi
2. そんなこと、 子(こ) どもでさえ 知(し) っている。
   👉 Điều như thế đến trẻ con còn biết",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-1.html
22,Tuần 2,Ngày 1,第2週 (1) – うそばっかり,～ 明日 こそ,～ 明日(あした) こそ,N／～から（ 理由 ） + こそ,"Chính là,. chính vì (lý do)","Dùng để nhấn mạnh khi chủ thể là tác nhân chính, lý do chính, cường điệu hóa lên","1. 明日 こそ 勉強 するぞ！
   👉 Chắc chắn ngày mai tôi sẽ học
2. 愛情 があるからこそ、しかるんです。
   👉 Chính vì yêu thương nên mới mắng đấy","1. 明日(あした) こそ 勉強(べんきょう) するぞ！
   👉 Chắc chắn ngày mai tôi sẽ học
2. 愛情(あいじょう) があるからこそ、しかるんです。
   👉 Chính vì yêu thương nên mới mắng đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-1.html
23,Tuần 2,Ngày 2,第2週 (2) – 事故などによる渋滞,～この 問題 に 関 して,～この 問題(もんだい) に 関(かん) して,Nに／～のに + 関 して・ 関 しては・ 関 しても・ 関 するN,Liên quan đến,Dùng khi nói đến một phần tính chất có liên quan đến vấn đề,"1. この 問題 に 関 して、ご 意見 ありませんか。
   👉 Liên quan đến vấn đề này, anh có ý kiến gì không ạ?
2. 農業 に 関 する 論文 を 読 む。
   👉 Đọc bài luận liên quan đến nông nghiệp","1. この 問題(もんだい) に 関(かん) して、ご 意見(いけん) ありませんか。
   👉 Liên quan đến vấn đề này, anh có ý kiến gì không ạ?
2. 農業(のうぎょう) に 関(かん) する 論文(ろんぶん) を 読(よ) む。
   👉 Đọc bài luận liên quan đến nông nghiệp",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-2.html
24,Tuần 2,Ngày 2,第2週 (2) – 事故などによる渋滞,～ 日本 文化 について,～ 日本(にっぽん) 文化(ぶんか) について,Nに + ついて／ついての／ついては／ついても,Về….,"Dùng khi nói về một hành động, sự việc tập trung vào vấn đề nào đó","1. 日本 文化 について 勉強 する。
   👉 Học về văn hóa Nhật Bản
2. 「 受験 についての 注意 」を 読 む。
   👉 Đọc ""Chú ý về việc dự thi""","1. 日本(にっぽん) 文化(ぶんか) について 勉強(べんきょう) する。
   👉 Học về văn hóa Nhật Bản
2. 「 受験(じゅけん) についての 注意(ちゅうい) 」を 読(よ) む。
   👉 Đọc ""Chú ý về việc dự thi""",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-2.html
25,Tuần 2,Ngày 2,第2週 (2) – 事故などによる渋滞,～ 天気 予報 によれば,～ 天気(てんき) 予報(よほう) によれば,Nに + よれば／よると,Theo…,"Dùng khi nói đến một sự việc có nguồn xuất phát từ những gì bản thân nghe được, nhìn thấy,…","1. 天気 予報 によれば、 明日 は 晴 れるらしい。
   👉 Theo dự báo thời tiết thì ngày mai nghe nói sẽ nắng
2. さっきの 地震 はテレビの 速報 によると 震度 ３だそうだ。
   👉 Động đất mới nãy theo tin nhanh của tivi thì hình như là chấn động 3 đấy","1. 天気(てんき) 予報(よほう) によれば、 明日(あした) は 晴(は) れるらしい。
   👉 Theo dự báo thời tiết thì ngày mai nghe nói sẽ nắng
2. さっきの 地震(じしん) はテレビの 速報(そくほう) によると 震度(しんど) ３だそうだ。
   👉 Động đất mới nãy theo tin nhanh của tivi thì hình như là chấn động 3 đấy",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-2.html
26,Tuần 2,Ngày 2,第2週 (2) – 事故などによる渋滞,～ 努力 によって,～ 努力(どりょく) によって,Nに + よって／よっては／より／よるN,"Bằng cách, do, vì, tùy theo","Dùng để thể hiện phương pháp, nguyên nhân, trường hợp cho từng hành động, sự việc nào đó","1. 彼 は 努力 によって 病気 を 克服 した！
   👉 Anh ấy đã hồi phục chính nhờ sự nỗ lực đấy
2. 人 によって 考 え 方 が 違 います。
   👉 Cách nghĩ khác nhau tùy vào mỗi người
3. 台風 によって 屋根 が 飛 ばされた。
   👉 Mái nhà đã bị thổi bay vì cơn bão","1. 彼(かれ) は 努力(どりょく) によって 病気(びょうき) を 克服(こくふく) した！
   👉 Anh ấy đã hồi phục chính nhờ sự nỗ lực đấy
2. 人(ひと) によって 考(かんが) え 方(かた) が 違(ちが) います。
   👉 Cách nghĩ khác nhau tùy vào mỗi người
3. 台風(たいふう) によって 屋根(やね) が 飛(と) ばされた。
   👉 Mái nhà đã bị thổi bay vì cơn bão",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-2-2.html
